Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Current asthma,65 years and over,7.8,"7.1,  8.5","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,18-44 years,8.6,"7.9,  9.3","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,45-64 years,8.5,"7.9,  9.2","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,65-74 years,8.8,"7.9,  9.8","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,75 years and over,6.3,"5.4,  7.2","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,"White, single race",8.1,"7.7,  8.6","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,"Black or African American, single race",10.7,"9.3, 12.2","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,"American Indian or Alaska Native, single race",13.6,"9.1, 19.2","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,"Asian, single race",4.9,"3.8,  6.3","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,"Native Hawaiian or Other Pacific Islander, single race",999,,"Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Black or African American and White,999,,"Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,American Indian or Alaska Native and White,14.2,"8.8, 21.4","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Hispanic or Latino,7.4,"6.3,  8.5","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Mexican or Mexican American,6.2,"4.8,  7.7","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Not Hispanic or Latino,8.6,"8.1,  9.0","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,"Not Hispanic or Latino, White, single race",8.3,"7.8,  8.8","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,"Not Hispanic or Latino, Black or African American, single race",10.9,"9.5, 12.5","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,"Other, non-Hispanic",7.5,"6.2,  8.9","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Less than high school diploma,8.9,"7.4, 10.6","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,High school diploma or GED,8.1,"7.3,  8.9","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Some college,9.5,"8.7, 10.3","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,College degree or higher,6.6,"6.1,  7.2","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Married,7.1,"6.6,  7.6","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Widowed,10.1,"8.7, 11.7","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Divorced or separated,10.8,"9.6, 12.1","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Never married,9.3,"8.3, 10.5","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Living with a partner,9.1,"7.5, 10.9","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Large central metro,8.2,"7.5,  9.0","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Large fringe metro,7.7,"7.0,  8.5","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Medium and small metro,9.1,"8.3, 10.0","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Nonmetropolitan,8.2,"7.1,  9.4","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Northeast,8.4,"7.5,  9.5","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Midwest,8.4,"7.5,  9.3","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,South,8.2,"7.5,  9.0","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,West,8.5,"7.7,  9.3","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Large MSA,8,"7.5,  8.5","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Small MSA,9.1,"8.3, 10.0","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Not in MSA,8.2,"7.1,  9.4","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Private,7.7,"7.2,  8.3","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Medicaid or other public,14.3,"12.5, 16.1","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Other coverage,10.6,"8.2, 13.5","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Uninsured,6.7,"5.4,  8.2","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Private,7.1,"6.0,  8.3","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Medicare and Medicaid,14.5,"11.1, 18.6","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Medicare Advantage,7.5,"6.5,  8.7","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Medicare only (no Advantage),7.1,"5.2,  9.4","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Other coverage,8.3,"6.1, 10.9","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Uninsured,999,,"Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Employed,7.3,"6.8,  7.8","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Not employed,10,"9.3, 10.8","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Full-time,7.1,"6.5,  7.6","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Part-time,8.8,"7.5, 10.3","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Not employed but has worked previously,9.8,"9.1, 10.6","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Not employed and has never worked,13.1,"9.1, 18.1","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Less than 100% FPL,13.1,"11.3, 15.0","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,100% to less than 200% FPL,10,"8.9, 11.1","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,200% and greater FPL,7.3,"6.9,  7.8","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,U.S.-born,9.3,"8.8,  9.8","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Foreign-born,4.3,"3.6,  5.1","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,With disability,17.2,"15.4, 19.1","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Without disability,7.5,"7.1,  7.9","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Gay/lesbian,13.2,"9.7, 17.5","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Straight,8,"7.6,  8.5","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Bisexual,16.7,"12.3, 21.9","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Little to no social vulnerability,8.4,"7.4,  9.3","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Low social vulnerability,8.7,"7.9,  9.6","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,Medium social vulnerability,8.2,"7.5,  9.0","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Current asthma,High social vulnerability,8.1,"7.2,  9.1","Percentage of current asthma for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had asthma. Respondents who had been told they had asthma were asked if they still had asthma.,2020
Any skin cancer,Total,3.4,"3.2,  3.6","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Male,3.7,"3.3,  4.0","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Female,3.1,"2.8,  3.4","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,18-34 years,0.2,"0.1,  0.3","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,35-49 years,1.3,"1.0,  1.7","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,50-64 years,3.7,"3.2,  4.1","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,65 years and over,9.6,"8.9, 10.4","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,18-44 years,0.5,"0.4,  0.7","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,45-64 years,3.2,"2.9,  3.6","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,65-74 years,8.1,"7.3,  9.0","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,75 years and over,11.9,"10.7, 13.1","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,"White, single race",4.6,"4.3,  4.9","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,"Black or African American, single race",0.1,"0.0,  0.4","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,"American Indian or Alaska Native, single race",0.7,"0.1,  2.7","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,"Asian, single race",0.3,"0.0,  0.8","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,"Native Hawaiian or Other Pacific Islander, single race",999,,"Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Black or African American and White,888,,"Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,American Indian or Alaska Native and White,2.7,"1.0,  5.9","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Hispanic or Latino,0.3,"0.2,  0.6","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Mexican or Mexican American,0.1,"0.0,  0.4","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Not Hispanic or Latino,4,"3.7,  4.2","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,"Not Hispanic or Latino, White, single race",5.2,"4.8,  5.5","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,"Not Hispanic or Latino, Black or African American, single race",0.1,"0.0,  0.4","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,"Other, non-Hispanic",0.6,"0.4,  1.0","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Less than high school diploma,2.3,"1.6,  3.1","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,High school diploma or GED,3.6,"3.2,  4.1","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Some college,3.7,"3.3,  4.1","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,College degree or higher,4.7,"4.3,  5.1","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Married,4.4,"4.1,  4.8","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Widowed,7.5,"6.5,  8.6","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Divorced or separated,3.1,"2.6,  3.7","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Never married,0.9,"0.7,  1.1","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Living with a partner,1.5,"1.0,  2.1","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
Any skin cancer,Large central metro,2.4,"2.0,  2.7","Percentage of skin cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had. Respondents who had skin (melanoma), skin (non-melanoma), or skin cancer (unknown kind) where classified as having any skin cancer.",2020
